chan_rank,channelTitle,chan_subscribers,chan_video_views,chan_video_count,chan_category,chan_started,chan_average_views_per_video,chan_number_trending_videos
836,Kylie Jenner,12000000,753341022,148,People & Blogs,2015,5090142.040540541,4
837,Troom Troom Indonesia,11900000,5012830809,1568,People & Blogs,2019,3196958.4241071427,0
838,Avril Lavigne,11900000,5636275144,140,Music,2005,40259108.17142857,3
839,The Infographics Show,11900000,4349105305,3445,Education,2011,1262439.8563134978,1
840,KaKa Kids TV - Nursery Rhymes Kids Animated Songs,11900000,4115401899,310,Unknown,2013,13275489.996774193,0
841,Azhan5star,11900000,6371101819,365,Entertainment,2021,17455073.476712327,0
842,CHHOTU KI MASTI,11900000,4064045560,106,Comedy,2018,38340052.45283019,0
843,Yudist Ardhana,11900000,3925624169,2126,Entertainment,2016,1846483.6166509879,0
844,Vogue,11900000,3533048715,2756,Entertainment,2008,1281948.009796807,21
845,Sonotek Bhakti,11900000,3661572976,7428,Entertainment,2010,492941.9730748519,0
846,BanderitaX,11900000,3347502658,1474,Gaming,2013,2271033.010854817,0
847,Lulu99,11900000,2140151369,496,Entertainment,2015,4314821.308467742,0
848,Planet Earth INDIA,11900000,1722795279,630,People & Blogs,2011,2734595.680952381,0
849,colinfurze,11900000,1472027354,350,Entertainment,2006,4205792.44,15
850,Ice Cream Rolls,11900000,1469047858,1528,Entertainment,2011,961418.7552356021,0
851,Yair17,11900000,1248384511,962,Gaming,2014,1297696.9968814969,0
852,CalvinHarrisVEVO,11800000,13615089843,173,Music,2009,78699941.28901733,3
853,Rauw Alejandro,11800000,9232920975,114,Music,2014,80990534.86842105,0
854,Jamuna TV,11800000,9144058244,84071,News & Politics,2017,108765.9031532871,0
855,MBC مصر,11800000,7784893932,40608,Entertainment,2012,191708.3809101655,0
856,CNCO,11800000,6881836992,172,Music,2015,40010680.18604651,0
857,Kids TV India Hindi Nursery Rhymes,11800000,5473328070,1185,Shows,2014,4618842.253164557,0
858,DANIEL EL TRAVIESO VIDEOS,11800000,4755190859,324,Comedy,2014,14676514.99691358,0
859,Kluna Tik,11800000,4208225754,275,Entertainment,2014,15302639.105454545,0
860,MrGear,11800000,3241537148,766,Science & Technology,2015,4231771.733681462,0
861,E-MasterSensei,11800000,3235532845,1151,Gaming,2016,2811062.4196351,0
862,Timba Vk,11800000,2538254830,890,Gaming,2012,2851971.7191011235,0
863,MORGENSHTERN,11800000,2085751416,131,Music,2013,15921766.534351146,1
864,WiederDude,11800000,2190306341,259,Unknown,2016,8456781.239382239,0
865,TommyInnit,11800000,1590238217,289,Gaming,2015,5502554.384083045,20
866,Tfue,11800000,1461546183,741,Gaming,2014,1972397.008097166,0
867,Bispo Bruno Leonardo,11800000,1882150122,3439,Nonprofits & Activism,2016,547295.7609770282,0
868,TsMadaan,11800000,1329092064,1687,Howto & Style,2008,787843.5471250741,0
869,EU FICO LOKO,11800000,1190135430,1605,Comedy,2010,741517.4018691588,0
870,Technology Gyan,11800000,920996435,924,Science & Technology,2015,996749.3885281385,0
872,Wave Music Bhakti,11700000,4770280667,19108,Music,2011,249648.34974879632,0
873,FFUNTV,11700000,9325685889,364,Gaming,2018,25620016.17857143,0
874,Natti Natasha,11700000,7264301648,130,Music,2015,55879243.44615385,1
875,Netflix Jr.,11700000,7314674893,1563,Education,2012,4679894.3653230965,0
876,Nat and Essie,11700000,6890942780,959,Film & Animation,2015,7185550.3441084465,0
877,Mor Haryanvi,11700000,5768686721,402,Music,2015,14349966.967661692,0
878,Luan Santana,11700000,4908116204,371,Music,2009,13229423.73045822,0
879,Koo Koo TV - Hindi,11700000,4265761191,927,Education,2017,4601684.132686084,0
880,123 GO!,11700000,4356636895,377,People & Blogs,2019,11556066.034482758,0
881,Naz | ناز,11700000,2002897892,917,People & Blogs,2016,2184185.2693565977,0
882,Rubius Z,11700000,1828200652,429,Comedy,2006,4261539.981351981,0
883,emma chamberlain,11700000,1531833342,283,Entertainment,2016,5412838.6643109545,5
884,Dani Russo Tv,11700000,602060711,280,Comedy,2014,2150216.825,0
885,FrontaL Gaming,11700000,255073454,108,Gaming,2015,2361791.2407407407,0
886,eltrece,11600000,11106097841,149786,Entertainment,2014,74146.43451991508,0
887,Alan Chikin Chow,11600000,11876297990,508,Comedy,2020,23378539.3503937,0
888,Луномосик,11600000,5052785110,460,People & Blogs,2015,10984315.456521738,0
889,Akon,11600000,5289951047,37,Music,2005,142971649.9189189,0
890,Halsey,11600000,4412088740,51,Music,2014,86511543.92156863,0
891,Republic Bharat,11600000,5041539626,49789,News & Politics,2019,101258.10170921287,0
892,SBT,11600000,3375080065,25710,Comedy,2008,131274.99280435627,0
893,办公室小野 Ms Yeah,11600000,3339092378,351,People & Blogs,2017,9513083.698005699,0
894,Morgz,11600000,2723781007,735,Gaming,2014,3705824.499319728,3
895,First We Feast,11600000,2485814338,819,Howto & Style,2014,3035182.341880342,20
896,P!NK,11500000,7211913487,13,Music,2006,554762575.9230769,2
897,YoungBoy Never Broke Again,11500000,11015842469,475,Entertainment,2015,23191247.303157896,16
898,TV9 Bharatvarsh,11500000,7314674032,193940,People & Blogs,2018,37716.17011446839,0
899,Wassabi,11500000,4592238139,1119,Entertainment,2006,4103876.7998212688,1
900,Luli Pampín,11500000,6102648062,225,Music,2012,27122880.275555555,0
901,Duo Tiempo De Sol,11500000,5733616887,278,Music,2013,20624521.176258992,0
902,Wild 'N Out,11500000,4418589089,1267,Entertainment,2006,3487442.0591949485,0
903,LipaoGamer,11500000,3837227706,10901,Gaming,2011,352006.94486744335,0
904,Make Joke Of,11500000,1832620830,42,Comedy,2017,43633829.28571428,0
905,Garena Free Fire LATAM,11500000,1587661793,1425,People & Blogs,2018,1114148.6266666667,0
906,Hero Movies 2022,11500000,1418615214,329,People & Blogs,2017,4311900.346504559,0
908,infobells - Kannada,11400000,5209512047,353,Education,2014,14757824.495750709,0
909,Black Eyed Peas,11400000,9492696997,39,Music,2007,243402487.1025641,0
910,Annoying Orange,11400000,7893769128,1861,Shows,2010,4241681.422890919,0
911,웃웃TwinsFromRussia,11400000,7802486828,3589,People & Blogs,2011,2174000.2307049315,0
912,Biper y sus Amigos,11400000,4991697738,119,Music,2012,41947039.815126054,0
913,Vy Qwaint,11400000,5409544753,528,Howto & Style,2014,10245349.910984848,0
914,Маша та Ведмідь,11400000,4942306057,994,Shows,2014,4972138.890342052,0
915,MC Divertida,11400000,4440911293,347,Entertainment,2018,12798015.253602305,0
916,BBC Earth,11400000,4069124046,2248,Pets & Animals,2009,1810108.5613879003,1
917,CrazyRussianHacker,11400000,3011607663,1970,Science & Technology,2012,1528734.8543147207,0
918,ExpCaseros,11400000,2515501575,1023,Howto & Style,2012,2458945.8211143697,0
919,الجانب المُشرق | Bright Side Arabic,11400000,1605101022,5063,Howto & Style,2018,317025.6808216472,0
920,MyLifeAsEva,11400000,1534278655,326,Comedy,2011,4706376.242331289,0
921,GoldminesAction,11400000,1069320125,529,Film & Animation,2015,2021399.102079395,0
922,Free Fire India Official,11300000,1389660530,1117,People & Blogs,2018,1244100.7430617725,0
923,Colors Rishtey,11300000,8954781989,13423,Entertainment,2013,667122.2520300976,0
924,Yoeslan,11300000,8789109127,240,Entertainment,2020,36621288.02916667,0
925,POCOYÓ en ESPAÑOL - Canal Oficial,11300000,8388840225,1538,Film & Animation,2007,5454382.460988296,0
926,Lil Wayne,11300000,5335786775,254,Music,2013,21007034.547244094,0
927,elcarteldesantatv,11300000,6261374873,313,Music,2008,20004392.565495208,0
928,Star Casablanca | نجوم الدار البيضاء,11300000,5129031730,998,Music,2015,5139310.350701403,0
929,UnspeakableGaming,11300000,4826278522,2444,Gaming,2012,1974745.7127659575,8
930,Maymo,11300000,4918241216,486,Pets & Animals,2006,10119837.893004116,0
931,Simone e Simaria,11300000,4474548691,224,Music,2012,19975663.79910714,0
932,Single Track Studio,11300000,4462580470,1719,Entertainment,2010,2596032.8504944737,0
933,CaptainSparklez,11300000,3924274232,5501,Gaming,2010,713374.7013270315,1
934,Tiana,11300000,3176486598,997,Entertainment,2015,3186044.73219659,0
935,Quantum Tech HD,11300000,3594122308,392,Science & Technology,2015,9168679.357142856,0
936,Ya - Alisa,11300000,2127059635,332,People & Blogs,2015,6406806.129518072,0
937,Jaiden Animations,11300000,2116631957,101,Film & Animation,2014,20956752.04950495,8
938,Ben Azelart,11300000,2294003189,236,Film & Animation,2014,9720352.495762711,2
939,Yoga With Adriene,11300000,1188547722,649,Howto & Style,2012,1831352.4221879814,7
940,The Viral Fever,11200000,1656301737,433,Entertainment,2011,3825177.221709007,0
941,Lofi Girl,11200000,1311726533,328,Music,2015,3999166.2591463416,0
942,Marta and Rustam,11200000,12481668186,390,Comedy,2021,32004277.4,2
943,ChainsmokersVEVO,11200000,11415809929,231,Music,2012,49419090.6017316,0
945,AlArabiya العربية,11200000,5892643162,129135,People & Blogs,2006,45631.650303945484,0
946,DemiLovatoVEVO,11200000,5543363992,201,Music,2009,27578925.333333332,4
947,Cut,11200000,4846700433,1738,Entertainment,2014,2788665.3814729573,0
948,Toys Make Me Smile,11200000,4562854224,102,Entertainment,2015,44733864.941176474,0
949,Franco Escamilla,11200000,3344578049,2053,Comedy,2007,1629117.4130540672,0
950,Avocado Couple I Crazy Comics,11200000,3138496496,660,Film & Animation,2018,4755297.721212122,0
951,Fortnite,11200000,2123231155,792,Gaming,2014,2680847.417929293,20
952,luzugames,11200000,1978138747,2882,Gaming,2013,686377.0808466342,0
953,Magic Five,11200000,1753589438,405,Entertainment,2016,4329850.46419753,0
954,El Rincón De Giorgio,11200000,1543663972,551,Entertainment,2013,2801568.007259528,0
